行权价,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,日均盈亏$
±4,4.25,0.75,10:00,-952.2,39,-24.42
±4,4.75,0.75,10:00,-952.2,39,-24.42
±4,2.5,1.0,10:30,-952.2,39,-24.42
±4,4.0,0.75,10:00,-952.2,39,-24.42
±4,1.75,1.0,10:30,-953.2,39,-24.44
±4,2.0,2.25,10:30,-956.2,39,-24.52
±4,0.5,1.0,10:30,-965.2,39,-24.75
±3,2.25,1.5,10:30,-981.2,39,-25.16
±3,2.5,1.5,10:30,-981.2,39,-25.16
±4,0.5,0.75,10:00,-983.2,39,-25.21
±3,1.0,0.75,10:30,-987.2,39,-25.31
±4,0.5,0.75,13:00,-992.2,39,-25.44
±4,0.5,0.75,11:30,-992.2,39,-25.44
±4,2.5,3.5,10:30,-998.2,39,-25.59
±4,2.5,5.0,10:30,-998.2,39,-25.59
±4,2.25,2.75,10:30,-998.2,39,-25.59
±4,2.25,4.25,10:30,-998.2,39,-25.59
±4,2.5,3.0,10:30,-998.2,39,-25.59
±4,2.5,2.75,10:30,-998.2,39,-25.59
±4,2.25,5.0,10:30,-998.2,39,-25.59
±4,2.25,4.75,10:30,-998.2,39,-25.59
±4,2.25,4.5,10:30,-998.2,39,-25.59
±4,2.25,3.75,10:30,-998.2,39,-25.59
±4,2.25,4.0,10:30,-998.2,39,-25.59
±4,2.25,3.25,10:30,-998.2,39,-25.59
±4,2.25,2.5,10:30,-998.2,39,-25.59
±4,2.25,3.0,10:30,-998.2,39,-25.59
±4,2.25,3.5,10:30,-998.2,39,-25.59
±4,2.5,3.75,10:30,-998.2,39,-25.59
±4,2.5,3.25,10:30,-998.2,39,-25.59
±4,2.5,4.25,10:30,-998.2,39,-25.59
±4,2.5,4.75,10:30,-998.2,39,-25.59
±4,2.5,4.5,10:30,-998.2,39,-25.59
±4,2.5,4.0,10:30,-998.2,39,-25.59
±4,2.5,2.5,10:30,-998.2,39,-25.59
±4,1.75,4.75,10:30,-999.2,39,-25.62
±4,1.75,4.0,10:30,-999.2,39,-25.62
±4,1.75,3.25,10:30,-999.2,39,-25.62
±4,1.75,5.0,10:30,-999.2,39,-25.62
±4,1.75,2.75,10:30,-999.2,39,-25.62
±4,1.75,2.5,10:30,-999.2,39,-25.62
±4,1.75,3.75,10:30,-999.2,39,-25.62
±4,1.75,3.5,10:30,-999.2,39,-25.62
±4,1.75,4.25,10:30,-999.2,39,-25.62
±4,1.75,4.5,10:30,-999.2,39,-25.62
±4,1.75,3.0,10:30,-999.2,39,-25.62
±4,0.5,0.75,11:00,-1002.2,39,-25.7
±4,0.5,0.75,13:30,-1002.2,39,-25.7
±3,2.0,3.5,10:30,-1004.2,39,-25.75
±3,2.0,3.0,10:30,-1004.2,39,-25.75
±3,2.0,4.75,10:30,-1004.2,39,-25.75
±3,2.0,3.75,10:30,-1004.2,39,-25.75
±3,2.0,4.0,10:30,-1004.2,39,-25.75
±3,2.0,4.25,10:30,-1004.2,39,-25.75
±3,2.0,4.5,10:30,-1004.2,39,-25.75
±3,2.0,2.75,10:30,-1004.2,39,-25.75
±3,2.0,3.25,10:30,-1004.2,39,-25.75
±3,2.0,5.0,10:30,-1004.2,39,-25.75
