行权价,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,日均盈亏$
±1,2.0,4.5,10:30,-419.2,39,-10.75
±1,2.0,4.0,10:30,-419.2,39,-10.75
±1,2.25,0.5,11:00,-420.2,39,-10.77
±1,2.75,3.5,10:30,-420.2,39,-10.77
±1,1.0,0.75,13:00,-420.2,39,-10.77
±1,0.5,0.75,12:00,-421.2,39,-10.8
±1,0.5,0.75,10:00,-423.2,39,-10.85
±1,0.75,0.75,14:30,-425.2,39,-10.9
±1,0.75,0.75,15:00,-425.2,39,-10.9
±1,2.75,0.75,10:00,-426.2,39,-10.93
±0.5,3.0,0.75,10:30,-426.2,39,-10.93
±1,0.5,0.5,15:00,-427.2,39,-10.95
±1,0.5,0.5,14:30,-427.2,39,-10.95
±1,1.75,0.5,11:00,-428.2,39,-10.98
±1,3.5,3.25,10:30,-430.2,39,-11.03
±1,3.25,3.25,10:30,-430.2,39,-11.03
±1,1.25,0.5,11:00,-430.2,39,-11.03
±1,1.5,0.5,11:00,-431.2,39,-11.06
±1,0.75,0.75,13:30,-431.2,39,-11.06
±1,0.75,0.5,13:00,-432.2,39,-11.08
±1,1.75,0.75,10:30,-432.2,39,-11.08
±1,0.5,0.5,10:30,-432.2,39,-11.08
±1,1.0,0.5,15:00,-432.2,39,-11.08
±1,0.75,0.75,12:30,-433.2,39,-11.11
±1,0.75,0.5,12:00,-434.2,39,-11.13
±1,5.0,3.75,10:30,-435.2,39,-11.16
±1,4.25,3.75,10:30,-435.2,39,-11.16
±1,4.75,3.75,10:30,-435.2,39,-11.16
±1,3.25,0.5,11:00,-435.2,39,-11.16
±1,4.0,3.75,10:30,-435.2,39,-11.16
±1,4.5,3.75,10:30,-435.2,39,-11.16
±1,2.5,0.5,10:00,-435.2,39,-11.16
±1,3.75,3.75,10:30,-435.2,39,-11.16
±1,3.0,2.25,10:30,-435.2,39,-11.16
±1,0.5,0.75,13:00,-436.2,39,-11.18
±1,0.5,0.5,12:00,-436.2,39,-11.18
±1,3.75,5.0,10:30,-437.2,39,-11.21
±1,3.75,4.75,10:30,-437.2,39,-11.21
±1,4.0,4.0,10:30,-437.2,39,-11.21
±1,4.0,4.75,10:30,-437.2,39,-11.21
±1,4.0,5.0,10:30,-437.2,39,-11.21
±1,4.0,4.5,10:30,-437.2,39,-11.21
±1,4.0,4.25,10:30,-437.2,39,-11.21
±1,5.0,4.25,10:30,-437.2,39,-11.21
±1,5.0,4.0,10:30,-437.2,39,-11.21
±1,2.0,0.5,11:00,-437.2,39,-11.21
±1,4.25,5.0,10:30,-437.2,39,-11.21
±1,4.25,4.25,10:30,-437.2,39,-11.21
±1,4.25,4.5,10:30,-437.2,39,-11.21
±1,4.25,4.75,10:30,-437.2,39,-11.21
±1,4.25,4.0,10:30,-437.2,39,-11.21
±1,5.0,4.75,10:30,-437.2,39,-11.21
±1,5.0,4.5,10:30,-437.2,39,-11.21
±1,3.75,4.5,10:30,-437.2,39,-11.21
±1,3.75,4.25,10:30,-437.2,39,-11.21
±1,3.75,4.0,10:30,-437.2,39,-11.21
±1,4.75,4.25,10:30,-437.2,39,-11.21
±1,4.75,5.0,10:30,-437.2,39,-11.21
±1,4.75,4.75,10:30,-437.2,39,-11.21
±1,5.0,5.0,10:30,-437.2,39,-11.21
±1,4.75,4.0,10:30,-437.2,39,-11.21
±1,4.75,4.5,10:30,-437.2,39,-11.21
